id	title	venue	host	city	country	date	talkType	slidesUrl	videoUrl	topic	createdAt	updatedAt
3050	Modeling Drug Efficacy and Side Effects using Systems Pharmacology	Department of Computer Science and Engineering, Case Western Reserve University, Cleveland, OH				2012-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.600+00:00	2026-03-30T12:25:47.600+00:00
3051	Predictive and Personalized Medicine: Computational Challenges and Opportunities	Department of Biomedical Informatics, Arizona State University, Scottsdale, AZ				2011-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.600+00:00	2026-03-30T12:25:47.600+00:00
3052	Plans for Analysis of Type 2-Diabetes Clinical and Health Survey Data	Fairbanks Institute, Indianapolis, IN				2011-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.601+00:00	2026-03-30T12:25:47.601+00:00
3053	Computational Drug Discovery using Translational Bioinformatics	LONI Institute/LA-SiGMA Seminar series, Louisiana Optical Network Initiative (LONI) Institute, New Orleans, LA				2011-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.601+00:00	2026-03-30T12:25:47.601+00:00
3054	Drug Discovery and Repurposing with Translational Bioinformatics	Biomedical Research Seminar Series, University of Texas Health Sciences Center at San Antonio, San Antonio, UT				2011-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.602+00:00	2026-03-30T12:25:47.602+00:00
3055	Bioinformatics in Biomarker Discovery	DBS Translational Biomedical Research Seminar Series, University of Illinois Urbana-Champion, Champion-Urbana, IL				2010-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.602+00:00	2026-03-30T12:25:47.602+00:00
3056	Biomarker Discovery: Computational Challenges and Opportunities	Department of Computer Science, the University of Texas at San Antonio, San Antonio, TX				2010-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.603+00:00	2026-03-30T12:25:47.603+00:00
3057	Finding Biomarkers and Drugs in Silico: A Translational Bioinformatics Approach	Department of Biomedical Informatics, Ohio State University Medical Center, Columbus, OH				2009-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.603+00:00	2026-03-30T12:25:47.603+00:00
3058	Enabling Informatics Methods to Biomarker Discovery	Jefferson Medical College, Thomas Jefferson University, Philadelphia, PA				2009-01-01T00:00:00.000+00:00	Invited			Precision Medicine & Health	2026-03-30T12:25:47.603+00:00	2026-03-30T12:25:47.603+00:00
3059	Translational Bioinformatics for Genome Medicine	Department of Computer Science and Engineering, Institute of Technology, University of Minnesota, Twin Cities, MN				2009-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.604+00:00	2026-03-30T12:25:47.604+00:00
3060	Translational Bioinformatics in Genome Medicine	School of Medicine, University of Kansas Medical Center, Kansas City, KS				2009-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.604+00:00	2026-03-30T12:25:47.604+00:00
3061	Network and Systems Biology: Power Tools for Post-genome Biomarker Discovery	Windber Research Institute, Windber, PA				2009-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.606+00:00	2026-03-30T12:25:47.606+00:00
3062	Bioinformatics and Genome Medicine	College of Information Sciences and Technology, Penn State University, College Station, PA				2009-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.606+00:00	2026-03-30T12:25:47.606+00:00
